lilacloaf#7292,None,Racial slurs and [redacted] comments in game troll
swelltoil#8670,f29faccba,hacker, spam sicko rpc on lobby join
echohoming#7605,None,User admitted to using hacks in public, user hacked a hosts game user is in malum and sicko
careerfive#6441,None,racial slurs(alluded) in, in game name
denexpert#5970,None,racial slurs and unalive comments spammed in users DMs
veillilac#2997,None,hate comment racial, slurs, and unalive comments spammed in DM’s
stoicrider#0383,None,Alt of banned member banned for harassment + multiple alt accounts used for ban evasion
strawaxial#5359,None,Alt of banned member banned for harassment + multiple alt accounts used for ban evasion
leadworth#0270,None,Alt of banned member banned for harassment + multiple alt accounts used for ban evasion
meetcrow#4414,None,Alt of banned member banned for harassment + multiple alt accounts used for ban evasion
tenthblur#3654,None,Alt of banned member banned for harassment + multiple alt accounts used for ban evasion
restplus#2133,None,Alt of banned member banned for harassment + multiple alt accounts used for ban evasion
midclassic#0527,None,Alt of banned member banned for harassment + multiple alt accounts used for ban evasion
tusksane#5460,None,alt of stoicrider
neapone#4660,None,alt of banned user
fareagle#8492,None,alt of banned member
lonemail#6461,None,alt of banned above ^
mistyshed#2381,None,alt of banned user banned for harassment
takingecho#1243,None,racial slurs in game
ruefulscar#0287,f59257758,None
saferise#1724,None,In malum lied about 2nd account + active user
flitsuper#3687,None,alt of banned user (banned for malum use + lying about alt)
scarbumpy#7559,None,racist in game name
deepcoffer#2922,None,Use of racial slurs in EHR lobby 8/17 proof available
skewcoach#6323,None,use of F and R slur in game & server
flintyplum#5130,None,use of F slur in game and R slur in server
jetevery#3237,None,racial slur in, in game name
timechic#4586,None,racial slurs in game
veinedfog#9385,None,racial slurs and homophobia in game
soupdried#9554,None,N word screen name
fluedecent#2686,None,use of racial slurs in game
desknumb#2218,None,alt of banned user fluedecent#2686 banned for racial slurs
Freepurse#4452,None,use of racial slurs in game
magicweeny#9380,None,use of racial slurs in game
markedfee#5991,None,Sexual assault wishes in DMs and comments of real world harm.
flitreedy#5107,None,alluding to racial slurs in game
test#1234,test,amogos
drinkreedy#6166,None,pedophilic behavior
meetshop#0940,None,use of mod menus alerting verification image
gougesole#0734,None,nsfw pedo behavior in lobbies
wiperwove#5927,None,1057807681152364625 pedo comments and slurs in server
wideink#3618,96f979d25,overload/hacking started after user joined- if they verify open a ticket
pinbrittle#1538,None,hacker
flowerfit#4735,422cfefe8,Hacking H2O
chancygrid#7957,1466867f1,hacker - Sky’s game Sarha’s game
dollfly#4791,None,hacking
swaphuge#8002,None,use of racial slurs in game
briskkin#3705,None,Alt of user banned for use of racial slurs in game
friendcode#1244,e3b0cb855,used racial slur in lobby chat
lonenova#0231,5f91cd6a8,use of racial slurs in game
poolsworn#0039,None,use of racial slurs in game per VH  https://discord.com/channels/995954559044304896/1085831488303534090/1453473537682706676
pureplot#2423,ed4c7bdf6,hacker
mindfecund#4895,0589ce12b,hacking sarhas lobby
todayside#9634,4e44cffe6,joined lobby with racial slur in bar
quayaway#3774,None,Alt of user who used racial slurs
beanverbal#2148,None,racial slur RN in game
thiefwise#3296,None,Telling users to unalive + ablest slurs
sizedirect#7148,None,doxing harassment of host NSFW content
basswont#0393,doxing harassment of host NSFW content,None
wiseavatar#5143,None,sexually explicit language in game
darkhealth#6131,145fd2971,Slurs in game server and DMs refer https://discord.com/channels/995954559044304896/1085831488303534090/1472926522263208189
beadslate#0697,None,antisemtic comments
spicyloads#8835,None,antisemetic comments in game
dimbottle#0386,None,alt of smilier
jacksdeep#4118,None,extreme toxicity in lobby chats and server. Continued harassment. Use of slurs in server
ruffother#8172,None,harassment and hacking
woolplain#9521,None,harassment and hacking
winnerjust#2812,None,spamming slurs in DMs and game
bornshark#4431,None,use of racial slurs in game https://cdn.discordapp.com/attachments/1091092562577739856/1477702108328235237/IMG_1884.png?ex=69a5b8d5&is=69a46755&hm=4cfa01875caadec9f650d1824368bff9afa35dd73a375f9cdf9ebb30d1cee24e&
taxgiggly#9511,bcd3fb011,hacked lobby 1 time made host crash, rejoined hacked again
roomsbasic#6426,None,https://discord.com/channels/995954559044304896/1236926116065706056/1486164830368038954
cobwebpuce#5201,80c86bfd5,hacker [04:04:27][EAC.Report(EAC.cs:1039)][EAC Cloud]EAC report: 1101527|cobwebpuce#5201|@|80c86bfd5|Bad Sabotage C : Hack send RPC
